RTX 3050,289
GTX 1660 Super,179
GTX 1660 Ti,189
GTX 1660,169
RTX 4090,1799
RTX 4080,1199
RX 7900 XTX,1289
RX 7900 XT,869
RTX 3080 12GB,1049
RTX 3080 Ti,899
RTX 4070 Ti,799
RTX 3090 Ti,1699
RTX 3090,1449
RX 6950 XT,699
RX 6900 XT,809
RX 6800 XT,579
RX 6800,499
RTX 3080,699
RTX 3070 Ti,629
RTX 3070,479
RTX 3060 Ti,409
RTX 3060,339
RX 6750 XT,409
RX 6700 XT,359
RX 6700 10GB,349
RX 6650 XT,289
RX 6600 XT,334
RX 6600,239
Titan RTX,2850
RTX 2080 Ti,899
RTX 2080 Super,995
RTX 2080,899
RTX 2070 Super,590
RTX 2070,369
RTX 2060 Super,269
RTX 2060,219
RX 5700 XT,299
RX 5700,299
RX 5600 XT,440
GTX 1080 Ti,749
GTX 1080,530
GTX 1070 Ti,472
RX Vega 64,659
RX Vega 56,180
Radeon VII,2390
Arc A770,319
Arc A750,289
Arc A380,139
